Король говорит! (2010),8.134,210
Головоломка (2015),8.133,240
Блеф (1976),8.131,89
Ромео и Джульетта (1968),8.13,37
Перед классом (2008),8.128,27
Планета Ка-Пэкс (2001),8.125,153
Золотой теленок (1968),8.125,71
Шерлок Холмс (2009),8.124,336
Амели (2001),8.124,228
Нюрнбергский процесс (1961),8.124,12
В случае убийства набирайте «М» (1954),8.123,34
Семь самураев (1954),8.122,37
Бешеные псы (1991),8.12,195
Заплати другому (2000),8.12,121
Корпорация монстров (2001),8.118,283
Вам и не снилось... (1980),8.118,65
Вечное сияние чистого разума (2004),8.117,309
"Три билборда на границе Эббинга, Миссури (2017)",8.112,211
Апокалипсис сегодня (1979),8.109,90
Ганди (1982),8.109,25
Воин (2011),8.108,126
Тот самый Мюнхгаузен (1979),8.105,70
Белый плен (2005),8.101,115
Андрей Рублев (1966),8.101,40
Отец солдата (1964),8.101,23
Звёздные войны: Эпизод 3 – Месть Ситхов (2005),8.099,221
Тренер Картер (2005),8.097,75
Красота по-американски (1999),8.093,184
Твоё имя (2016),8.093,70
Мой сосед Тоторо (1988),8.092,118
Человек-слон (1980),8.092,53
Писатели свободы (2006),8.092,40
Исчезнувшая (2014),8.091,306
Индиана Джонс и последний крестовый поход (1989),8.091,125
Схватка (1995),8.089,98
Военный ныряльщик (2000),8.089,76
Октябрьское небо (1999),8.087,46
Принцесса Мононоке (1997),8.086,98
Знахарь (1981),8.085,42
Звёздные войны: Эпизод 6 – Возвращение Джедая (1983),8.082,185
Психо (1960),8.082,95
Ип Ман (2008),8.082,75
Джокер (2019),8.081,257
Новый кинотеатр «Парадизо» (1988),8.075,15
Шрэк (2001),8.074,311
Последний самурай (2003),8.074,143
Звёздочки на земле (2007),8.073,25
Иллюзионист (2005),8.072,231
Гарри Поттер и узник Азкабана (2004),8.071,338
Берегись автомобиля (1966),8.071,95
Легенда №17 (2012),8.07,250
"Ирония судьбы, или С легким паром! (1975)",8.07,208
Брат 2 (2000),8.067,330
Трасса 60 (2001),8.067,224
Цирк (1928),8.065,16
Загадочная история Бенджамина Баттона (2008),8.064,330
Хоббит: Пустошь Смауга (2013),8.064,252
Пока не сыграл в ящик (2007),8.064,184
Жестокий романс (1984),8.064,68
Гарри Поттер и философский камень (2001),8.063,406
Хулиганы (2005),8.063,140
Тэмпл Грандин (2010),8.062,20
Ford против Ferrari (2019),8.061,120
Дурак (2014),8.059,179
Я – Сэм (2001),8.059,63
Гарри Поттер и Дары Смерти: Часть II (2011),8.057,317
Апокалипсис (2006),8.057,135
Подмена (2008),8.056,161
Рататуй (2007),8.054,260
Песнь моря (2014),8.053,46
Ураган (1999),8.052,35
Медведь (1988),8.052,17
Крепкий орешек (1988),8.051,178
Золотая лихорадка (1925),8.05,21
Три идиота (2009),8.049,45
Убить пересмешника (1962),8.048,33
Аватар (2009),8.045,457
Крупная рыба (2003),8.045,142
Столкновение (2004),8.044,80
Завтра была война (1987),8.044,24
"Знакомьтесь, Джо Блэк (1998)",8.043,199
Звёздные войны: Эпизод 5 – Империя наносит ответный удар (1980),8.043,186
Старший сын (1975),8.041,28
Рапунцель: Запутанная история (2010),8.04,232
Вверх (2009),8.039,232
Билли Эллиот (2000),8.039,41
Мулан (1998),8.036,149
Поющие под дождем (1952),8.031,23
Жизнь Пи (2012),8.03,206
Русалочка (1989),8.03,136
Реквием по мечте (2000),8.029,258
Гаттака (1997),8.029,119
Догвилль (2003),8.028,103
Леди и бродяга (1955),8.028,99
Мужики!.. (1981),8.028,36
"Аты-баты, шли солдаты... (1976)",8.028,28
История игрушек: Большой побег (2010),8.027,142
Мандарины (2013),8.027,26
Пираты Карибского моря: На краю Света (2007),8.024,282
Крамер против Крамера (1979),8.024,39
Иди и смотри (1985),8.024,34
Профессионал (1981),8.022,71
Иваново детство (1962),8.022,29
